iter	Passed	Remaining
413	3426	4850
414	3434	4841
415	3443	4834
416	3451	4825
417	3460	4817
418	3468	4809
419	3476	4801
420	3484	4792
421	3493	4784
422	3500	4775
423	3509	4767
424	3517	4758
425	3525	4750
426	3533	4741
427	3541	4733
428	3550	4725
429	3558	4717
430	3566	4708
431	3575	4700
432	3583	4692
433	3591	4683
434	3599	4675
435	3607	4666
436	3616	4659
437	3624	4650
438	3632	4642
439	3640	4633
440	3649	4625
441	3657	4617
442	3665	4609
443	3674	4601
444	3682	4592
445	3691	4585
446	3699	4576
447	3707	4567
448	3715	4559
449	3723	4551
450	3731	4542
451	3740	4534
452	3748	4526
453	3757	4518
454	3765	4510
455	3774	4502
456	3782	4493
457	3790	4485
458	3798	4477
459	3807	4469
460	3815	4460
461	3823	4452
462	3831	4443
463	3840	4435
464	3848	4427
465	3856	4419
466	3864	4411
467	3873	4403
468	3882	4395
469	3890	4387
470	3898	4378
471	3907	4370
472	3915	4362
473	3924	4354
474	3932	4346
475	3940	4338
476	3948	4329
477	3957	4321
478	3965	4313
479	3974	4305
480	3982	4296
481	3990	4289
482	3999	4280
483	4007	4272
484	4015	4264
485	4024	4256
486	4033	4248
487	4041	4240
488	4050	4232
489	4058	4224
490	4067	4216
491	4075	4207
492	4083	4199
493	4092	4191
494	4100	4183
495	4109	4175
496	4117	4167
497	4125	4158
498	4133	4150
499	4142	4142
500	4150	4133
501	4158	4125
502	4167	4117
503	4175	4109
504	4184	4101
505	4192	4092
506	4200	4084
507	4208	4076
508	4216	4067
509	4225	4059
510	4233	4050
511	4241	4042
512	4249	4034
513	4258	4026
514	4266	4018
515	4275	4009
516	4283	4002
517	4292	3994
518	4300	3985
519	4309	3977
520	4317	3969
521	4325	3961
522	4334	3952
523	4342	3944
524	4350	3936
525	4358	3927
526	4366	3919
527	4375	3911
528	4383	3902
529	4391	3894
530	4400	3886
531	4408	3878
532	4417	3870
533	4425	3862
534	4434	3853
535	4442	3845
536	4451	3837
537	4459	3829
538	4467	3820
539	4475	3812
540	4484	3804
541	4492	3796
542	4500	3788
543	4509	3779
544	4517	3771
545	4526	3763
546	4534	3755
547	4543	3747
548	4551	3739
549	4559	3730
550	4568	3722
551	4576	3714
552	4585	3706
553	4593	3697
554	4601	3689
555	4610	3681
556	4618	3673
557	4626	3664
558	4635	3656
559	4643	3648
560	4652	3640
561	4660	3632
562	4669	3624
563	4677	3616
564	4686	3608
565	4695	3600
566	4703	3592
567	4711	3583
568	4720	3575
569	4728	3566
570	4736	3558
571	4744	3550
572	4753	3542
573	4761	3533
574	4770	3525
575	4778	3517
576	4787	3509
577	4795	3501
578	4804	3493
579	4812	3484
580	4820	3476
581	4828	3468
582	4837	3460
583	4846	3451
584	4854	3443
585	4863	3435
586	4871	3427
587	4880	3419
588	4889	3411
589	4897	3403
590	4906	3395
591	4914	3387
592	4922	3378
593	4931	3370
594	4939	3362
595	4948	3354
596	4956	3345
597	4965	3337
598	4973	3329
599	4982	3321
600	4990	3313
601	4999	3305
602	5007	3296
603	5016	3288
604	5024	3280
605	5033	3272
606	5041	3264
607	5050	3256
608	5059	3248
609	5067	3239
610	5075	3231
611	5084	3223
612	5093	3215
613	5102	3207
614	5110	3199
615	5119	3191
616	5128	3183
617	5136	3175
618	5145	3166
619	5153	3158
620	5162	3150
621	5170	3142
622	5179	3134
623	5188	3126
624	5196	3117
625	5204	3109
626	5213	3101
627	5222	3093
628	5231	3085
629	5239	3077
630	5248	3069
631	5257	3061
632	5266	3053
633	5275	3045
634	5283	3037
635	5292	3028
636	5300	3020
637	5309	3012
638	5318	3004
639	5326	2996
640	5335	2988
641	5343	2979
642	5352	2971
643	5361	2963
644	5369	2955
645	5378	2947
646	5387	2939
647	5396	2931
648	5404	2923
649	5413	2915
650	5421	2906
651	5430	2898
652	5439	2890
653	5447	2882
654	5456	2873
655	5464	2865
656	5473	2857
657	5481	2849
658	5490	2840
659	5498	2832
660	5507	2824
661	5516	2816
662	5524	2808
663	5533	2799
664	5541	2791
665	5550	2783
666	5559	2775
667	5567	2767
668	5576	2758
669	5584	2750
670	5593	2742
671	5602	2734
672	5611	2726
673	5620	2718
674	5629	2710
675	5638	2702
676	5646	2694
677	5655	2685
678	5663	2677
679	5672	2669
680	5681	2661
681	5689	2652
682	5698	2644
683	5706	2636
684	5715	2628
685	5723	2619
686	5732	2611
687	5740	2603
688	5748	2594
689	5756	2586
690	5765	2578
691	5773	2569
692	5782	2561
693	5790	2553
694	5798	2544
695	5807	2536
696	5815	2528
697	5823	2519
698	5832	2511
699	5841	2503
700	5849	2495
701	5858	2486
702	5866	2478
703	5874	2470
704	5883	2461
705	5891	2453
706	5899	2445
707	5908	2436
708	5916	2428
709	5924	2420
710	5933	2411
711	5941	2403
712	5949	2394
713	5958	2386
714	5966	2378
715	5975	2370
716	5983	2361
717	5992	2353
718	6001	2345
719	6009	2337
720	6018	2328
721	6027	2320
722	6035	2312
723	6044	2304
724	6052	2295
725	6061	2287
726	6069	2279
727	6078	2270
728	6086	2262
729	6095	2254
730	6103	2246
731	6112	2237
732	6121	2229
733	6129	2221
734	6137	2212
735	6145	2204
736	6154	2196
737	6162	2187
738	6170	2179
739	6179	2171
740	6188	2162
741	6196	2154
742	6204	2146
743	6213	2137
744	6221	2129
745	6229	2121
746	6237	2112
747	6246	2104
748	6254	2096
749	6263	2087
750	6271	2079
751	6279	2071
752	6288	2062
753	6296	2054
754	6304	2045
755	6313	2037
756	6321	2029
757	6330	2021
758	6338	2012
759	6346	2004
760	6355	1995
761	6364	1987
762	6372	1979
763	6380	1971
764	6388	1962
765	6397	1954
766	6405	1945
767	6414	1937
768	6422	1929
769	6431	1921
770	6439	1912
771	6448	1904
772	6456	1895
773	6464	1887
774	6472	1879
775	6481	1871
776	6490	1862
777	6499	1854
778	6507	1846
779	6516	1837
780	6524	1829
781	6533	1821
782	6541	1813
783	6550	1804
784	6558	1796
785	6566	1787
786	6575	1779
787	6583	1771
788	6591	1762
789	6600	1754
790	6608	1746
791	6617	1737
792	6626	1729
793	6634	1721
794	6642	1712
795	6651	1704
796	6659	1696
797	6667	1687
798	6676	1679
799	6685	1671
800	6693	1663
801	6702	1654
802	6711	1646
803	6719	1638
804	6728	1629
805	6736	1621
806	6745	1613
807	6754	1604
808	6762	1596
809	6770	1588
810	6779	1579
811	6787	1571
812	6795	1563
813	6804	1554
814	6812	1546
815	6820	1537
816	6829	1529
817	6837	1521
818	6846	1512
819	6854	1504
820	6862	1496
821	6871	1488
822	6880	1479
823	6888	1471
824	6897	1463
825	6904	1454
826	6913	1446
827	6921	1437
828	6930	1429
829	6938	1421
830	6946	1412
831	6955	1404
832	6963	1396
833	6971	1387
834	6980	1379
835	6988	1370
836	6996	1362
837	7005	1354
838	7013	1345
839	7022	1337
840	7030	1329
841	7039	1320
842	7047	1312
843	7056	1304
844	7065	1295
845	7073	1287
846	7081	1279
847	7090	1270
848	7098	1262
849	7107	1254
850	7115	1245
851	7123	1237
852	7132	1229
853	7140	1220
854	7149	1212
855	7157	1204
856	7165	1195
857	7174	1187
858	7181	1178
859	7190	1170
860	7198	1162
861	7207	1153
862	7215	1145
863	7223	1137
864	7231	1128
865	7240	1120
866	7248	1111
867	7257	1103
868	7266	1095
869	7274	1087
870	7283	1078
871	7291	1070
872	7299	1061
873	7308	1053
874	7316	1045
875	7325	1036
876	7333	1028
877	7342	1020
878	7350	1011
879	7358	1003
880	7366	995
881	7375	986
882	7383	978
883	7392	970
884	7400	961
885	7409	953
886	7417	944
887	7425	936
888	7433	928
889	7442	919
890	7450	911
891	7459	903
892	7467	894
893	7475	886
894	7484	878
895	7492	869
896	7500	861
897	7509	852
898	7517	844
899	7526	836
900	7534	827
901	7543	819
902	7551	811
903	7560	802
904	7568	794
905	7577	786
906	7585	777
907	7593	769
908	7601	761
909	7610	752
910	7618	744
911	7627	735
912	7635	727
913	7644	719
914	7652	710
915	7661	702
916	7669	694
917	7677	685
918	7686	677
919	7694	669
920	7702	660
921	7711	652
922	7719	644
923	7728	635
924	7736	627
925	7745	618
926	7753	610
927	7762	602
928	7771	593
929	7780	585
930	7788	577
931	7796	568
932	7805	560
933	7813	552
934	7821	543
935	7830	535
936	7839	527
937	7847	518
938	7855	510
939	7864	501
940	7873	493
941	7881	485
942	7889	476
943	7898	468
944	7906	460
945	7914	451
946	7923	443
947	7931	435
948	7940	426
949	7948	418
950	7957	409
951	7965	401
952	7973	393
953	7982	384
954	7990	376
955	7998	368
956	8007	359
957	8016	351
958	8025	343
959	8033	334
960	8042	326
961	8050	318
962	8058	309
963	8066	301
964	8075	292
965	8083	284
966	8092	276
967	8100	267
968	8108	259
969	8117	251
970	8125	242
971	8133	234
972	8142	225
973	8150	217
974	8159	209
975	8167	200
976	8176	192
977	8184	184
978	8192	175
979	8201	167
980	8209	159
981	8217	150
982	8226	142
983	8234	133
984	8242	125
985	8251	117
986	8259	108
987	8268	100
988	8277	92
989	8285	83
990	8293	75
991	8302	66
992	8310	58
993	8319	50
994	8327	41
995	8335	33
996	8344	25
997	8352	16
998	8361	8
999	8369	0
